,LR,BATCH_SIZE,NUM_EPOCHS,LATENT_DIM,ATT,FULL_IVS,VAE_ID,NUM_LAYERS,NUM_HEADS,HIDDEN_SIZE,MEAN_LOSS,STD_LOSS,RATIO,ID#,USE_EXOG,SELF
0,0.001,8.0,80.0,10.0,True,True,9554454.0,8.0,1.0,256.0,0.0623059474783076,0.160705352570613,0.3877030010617148,9524614.0,True,False
1,0.001,8.0,80.0,10.0,True,False,6932440.0,8.0,1.0,256.0,0.0450061832862047,0.0347093870528589,1.2966573917789106,1425859.0,True,False
2,0.001,8.0,80.0,10.0,False,True,4414949.0,8.0,0.0,256.0,0.0691168625471618,0.1288528833350479,0.536401365326391,2486900.0,True,False
3,0.001,8.0,80.0,10.0,True,True,4414949.0,8.0,1.0,256.0,0.0623365402689159,0.1607732925821518,0.3877294497595942,2465725.0,True,False
4,0.001,8.0,80.0,10.0,True,False,4414949.0,8.0,1.0,256.0,0.0446468032041593,0.0443883859085802,1.0058217322006566,626437.0,True,False
5,0.001,8.0,80.0,20.0,False,False,2522364.0,8.0,0.0,256.0,0.0183895096934065,0.0198115684168984,0.9282207903197136,2187764.0,True,False
6,0.001,8.0,80.0,20.0,False,False,2522364.0,8.0,0.0,256.0,0.0165534144289267,0.0117224179974492,1.412116035491028,2187764.0,True,False
7,0.001,8.0,80.0,20.0,True,False,2522364.0,8.0,1.0,256.0,0.0154175322277296,0.0100074134333649,1.5406111009991177,9469440.0,True,False
8,0.001,8.0,80.0,5.0,False,False,2894267.0,8.0,0.0,256.0,0.0257090411269018,0.0167886227808527,1.5313371121913997,3453101.0,True,False
9,0.001,8.0,80.0,5.0,True,False,2894267.0,8.0,1.0,256.0,0.0236065128201516,0.0172387077654268,1.3693899299978736,1342592.0,True,False
10,0.001,8.0,80.0,2.0,False,False,3341669.0,8.0,0.0,256.0,0.0184431629686514,0.0160249457949534,1.1509032981852316,5103648.0,True,False
11,0.001,8.0,80.0,2.0,True,False,3341669.0,8.0,1.0,256.0,0.0143768334155538,0.0108200563399318,1.3287207537446484,7807410.0,True,False
12,0.001,8.0,80.0,40.0,True,False,7417969.0,8.0,1.0,256.0,0.0177142403490506,0.0225595674654723,0.7852207439775821,2247550.0,True,False
13,0.001,8.0,80.0,40.0,False,False,7417969.0,8.0,0.0,256.0,0.0151274840727637,0.0130817363337238,1.1563819730692828,8892402.0,True,False
14,0.001,8.0,80.0,20.0,False,False,8221203.0,8.0,0.0,256.0,0.0118878875937298,0.0103173270773247,1.152225523590972,9462795.0,True,False
15,0.001,8.0,80.0,20.0,False,True,8221203.0,8.0,0.0,256.0,0.0509211529142703,0.1222580861469587,0.416505398694539,2030230.0,True,False
16,0.001,8.0,80.0,20.0,True,True,8221203.0,8.0,1.0,256.0,0.0609454047262261,0.156236017860001,0.3900854973200716,6005310.0,True,False
17,0.0003,8.0,80.0,20.0,True,True,8221203.0,8.0,1.0,256.0,0.063606386129777,0.1592632521075377,0.3993789231858006,3664053.0,True,False
18,0.0003,8.0,5.0,20.0,True,True,8221203.0,8.0,1.0,256.0,0.0632802300751791,0.158430168106984,0.3994203303025439,6811094.0,True,False
19,0.001,8.0,200.0,20.0,True,True,8221203.0,8.0,1.0,256.0,0.0611421218459327,0.156498616670252,0.3906879379947572,7589933.0,True,False
20,,,,,,,,,,,,,,,,False
21,0.001,8.0,200.0,20.0,True,True,4414949.0,4.0,1.0,256.0,0.0302536540011715,0.1004459170406397,0.301193467016993,5278568.0,True,False
22,0.001,8.0,120.0,20.0,True,True,4414949.0,8.0,1.0,256.0,0.0338240013174981,0.1166997844619136,0.2898377359774562,5505384.0,True,False
23,0.001,8.0,80.0,20.0,True,True,4414949.0,8.0,1.0,256.0,0.0338951018593345,0.1063036187559936,0.3188518157329749,4409094.0,True,False
24,0.001,8.0,80.0,20.0,False,True,4414949.0,8.0,0.0,256.0,0.0741572651846713,0.134709714685614,0.550496787538596,9465189.0,True,False
25,0.001,8.0,80.0,10.0,True,False,3944192.0,8.0,1.0,256.0,0.0110267707450528,0.0337302854904549,0.3269100923611593,8907201.0,True,False
26,0.0001,8.0,80.0,10.0,False,False,3944192.0,8.0,0.0,256.0,0.1109309645669002,0.1694757517024573,0.6545536069470155,7293927.0,True,False
27,0.001,8.0,80.0,10.0,True,False,8212663.0,8.0,1.0,256.0,0.0112241573285963,0.0194527357025273,0.5769963412980551,5941028.0,True,False
28,0.001,8.0,80.0,10.0,False,False,3944192.0,8.0,0.0,256.0,0.0098268477450746,0.0117906368967122,0.8334450319485971,2652249.0,True,False
29,0.001,8.0,80.0,20.0,True,False,374248.0,8.0,1.0,256.0,0.0080978275981206,0.0084069163546013,0.9632339916988092,5612531.0,True,False
30,0.001,8.0,80.0,20.0,False,False,374248.0,8.0,0.0,256.0,0.0102855741754201,0.011293438758654,0.9107566256148872,2216376.0,True,False
31,0.001,8.0,80.0,20.0,True,False,3790903.0,8.0,1.0,256.0,0.0127568310427667,0.0377415009213126,0.3380053980726283,9306713.0,True,False
32,0.001,8.0,80.0,20.0,False,False,3790903.0,8.0,0.0,256.0,0.0129607941954986,0.0222707763961207,0.5819641832404292,7020226.0,True,False
33,0.001,8.0,80.0,5.0,True,False,2011003.0,8.0,1.0,256.0,0.0126256124652452,0.0164809451852943,0.7660733242721319,5556330.0,True,False
34,0.001,8.0,80.0,5.0,False,False,2011003.0,8.0,0.0,256.0,0.0166276798224126,0.0354390663595986,0.4691906850392809,4807446.0,True,False
35,0.001,8.0,80.0,2.0,False,False,127582.0,8.0,0.0,256.0,0.0083493014735259,0.0108231409954998,0.7714305373086731,8125458.0,True,False
